"displayDate","returnPeriod","value","baseName","station"
2016-01-01,"y2",-5.99078261456129,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-02,"y2",-6.00308757349739,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-03,"y2",-6.01323562256959,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-04,"y2",-6.02135102825765,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-05,"y2",-6.02755806812428,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-06,"y2",-6.03198103125588,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-07,"y2",-6.03474421868748,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-08,"y2",-6.03597194381214,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-09,"y2",-6.03578853277465,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-10,"y2",-6.03431832484947,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-11,"y2",-6.03168567280315,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-12,"y2",-6.02801494324076,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-13,"y2",-6.02343051693688,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-14,"y2",-6.0180567891507,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-15,"y2",-6.01201816992545,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-16,"y2",-6.00543908437214,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-17,"y2",-5.99844397293759,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-18,"y2",-5.99115729165676,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-19,"y2",-5.98370351238937,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-20,"y2",-5.97620712304101,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-21,"y2",-5.96879262776842,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-22,"y2",-5.96158454716933,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-23,"y2",-5.95470741845662,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-24,"y2",-5.94828579561699,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-25,"y2",-5.94244424955409,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-26,"y2",-5.93730736821616,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-27,"y2",-5.93299975670828,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-28,"y2",-5.92959061216189,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-29,"y2",-5.92687429339911,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-30,"y2",-5.92456013411208,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-01-31,"y2",-5.9223574602174,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-01,"y2",-5.91997561511947,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-02,"y2",-5.91712395973099,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-03,"y2",-5.91351187247841,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-04,"y2",-5.90884874929219,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-05,"y2",-5.90284400358222,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-06,"y2",-5.89520706619818,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-07,"y2",-5.88564738537508,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-08,"y2",-5.87387442666393,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-09,"y2",-5.85959767284772,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-10,"y2",-5.84252662384266,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-11,"y2",-5.82237079658475,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-12,"y2",-5.79883972490187,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-13,"y2",-5.77164295937131,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-14,"y2",-5.74049006716287,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-15,"y2",-5.70509063186765,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-16,"y2",-5.66515425331241,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-17,"y2",-5.62039054735986,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
2016-02-18,"y2",-5.57050914569469,"KNMI14_GL_2050_tn___19810101-20101231_v3.2","270"
