"displayDate","returnPeriod","value","baseName","station"
2016-01-01,"y2",-3.28400166546997,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-02,"y2",-3.28669696263924,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-03,"y2",-3.2858803705992,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-04,"y2",-3.28173330660209,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-05,"y2",-3.27443719997057,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-06,"y2",-3.26417349121111,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-07,"y2",-3.25112363114202,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-08,"y2",-3.23546908003668,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-09,"y2",-3.21739130678166,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-10,"y2",-3.19707178805,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-11,"y2",-3.17469200748982,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-12,"y2",-3.1504334549281,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-13,"y2",-3.12447762558998,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-14,"y2",-3.09700601933344,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-15,"y2",-3.06820013989952,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-16,"y2",-3.03824149417815,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-17,"y2",-3.00731159148964,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-18,"y2",-2.97559194288183,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-19,"y2",-2.94326406044302,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-20,"y2",-2.9105094566307,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-21,"y2",-2.87750964361612,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-22,"y2",-2.84444613264474,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-23,"y2",-2.81150043341256,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-24,"y2",-2.77885405345845,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-25,"y2",-2.74668849757237,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-26,"y2",-2.71518526721966,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-27,"y2",-2.68452585998127,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-28,"y2",-2.65484635972502,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-29,"y2",-2.62605765912692,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-30,"y2",-2.59800097097598,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-01-31,"y2",-2.57051748142937,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-01,"y2",-2.54344837020168,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-02,"y2",-2.51663481010138,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-03,"y2",-2.48991796658338,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-04,"y2",-2.4631389973176,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-05,"y2",-2.43613905177354,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-06,"y2",-2.40875927082091,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-07,"y2",-2.38084078634624,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-08,"y2",-2.35222472088545,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-09,"y2",-2.32275218727239,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-10,"y2",-2.29226428830332,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-11,"y2",-2.26060211641734,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-12,"y2",-2.2276067533926,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-13,"y2",-2.19311927005848,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-14,"y2",-2.15698072602352,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-15,"y2",-2.11903216941919,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-16,"y2",-2.07911463665936,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-17,"y2",-2.03706915221555,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-18,"y2",-1.99273672840782,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-19,"y2",-1.9459583652113,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-20,"y2",-1.89657505007839,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-21,"y2",-1.8444277577764,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-22,"y2",-1.78935745024079,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-23,"y2",-1.73125454629393,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-24,"y2",-1.67031474511191,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-25,"y2",-1.60685007954157,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-26,"y2",-1.54117279945249,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-27,"y2",-1.47359514265479,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-28,"y2",-1.40442933485676,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-02-29,"y2",-1.3339875896358,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
2016-03-01,"y2",-1.26258210842223,"KNMI14_WH_2050_tn___19810101-20101231_v3.2","370"
