"displayDate","returnPeriod","value","baseName","station"
2016-01-01,"y2",-6.56993634311691,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-02,"y2",-6.58007654895232,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-03,"y2",-6.5887269763928,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-04,"y2",-6.59595885957663,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-05,"y2",-6.6018434276661,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-06,"y2",-6.60645190578563,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-07,"y2",-6.60985551594193,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-08,"y2",-6.61212547792633,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-09,"y2",-6.61333301019884,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-10,"y2",-6.61354933075415,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-11,"y2",-6.61284565796925,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-12,"y2",-6.61129321143268,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-13,"y2",-6.60896321275533,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-14,"y2",-6.60592688636259,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-15,"y2",-6.60225546026798,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-16,"y2",-6.59802016682798,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-17,"y2",-6.59329224347806,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-18,"y2",-6.58814293344997,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-19,"y2",-6.58264348646999,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-20,"y2",-6.57686515943832,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-21,"y2",-6.57087921708943,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-22,"y2",-6.56475693263335,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-23,"y2",-6.55856958837783,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-24,"y2",-6.55238847633147,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-25,"y2",-6.54628489878755,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-26,"y2",-6.54033016888882,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-27,"y2",-6.53459561117293,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-28,"y2",-6.52911662389289,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-29,"y2",-6.52375039890765,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-30,"y2",-6.51829899866539,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-01-31,"y2",-6.51256448264081,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-02-01,"y2",-6.50634892414222,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
2016-02-02,"y2",-6.49945441074146,"KNMI14____ref_tn___19810101-20101231_v3.2","210"
