"displayDate","returnPeriod","value","baseName","station"
2016-01-01,"y2",14.3548822565909,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-02,"y2",14.3295261801713,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-03,"y2",14.3067736880455,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-04,"y2",14.2865756437708,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-05,"y2",14.2688829160667,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-06,"y2",14.2536463786968,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-07,"y2",14.2408169103523,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-08,"y2",14.230345394533,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-09,"y2",14.2221827194298,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-10,"y2",14.2162797778059,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-11,"y2",14.2125874668777,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-12,"y2",14.2110566881955,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-13,"y2",14.2116383475243,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-14,"y2",14.2142833547232,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-15,"y2",14.2189426236254,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-16,"y2",14.2255670719176,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-17,"y2",14.2341076210185,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-18,"y2",14.2445151959579,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-19,"y2",14.2567407252545,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-20,"y2",14.2707351407939,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-21,"y2",14.2864493777064,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-22,"y2",14.3038343742434,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-23,"y2",14.3228410716551,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-24,"y2",14.3434204140659,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-25,"y2",14.3655233483513,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-26,"y2",14.3891008240129,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-27,"y2",14.414103793054,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-28,"y2",14.4405151791821,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-29,"y2",14.4684764453732,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-30,"y2",14.4981781093471,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-01-31,"y2",14.5298107053741,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-01,"y2",14.5635647695966,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-02,"y2",14.5996308399021,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-03,"y2",14.6381994557958,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-04,"y2",14.6794611582729,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-05,"y2",14.7236064896899,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-06,"y2",14.7708259936368,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-07,"y2",14.8213102148073,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-08,"y2",14.8752496988697,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-09,"y2",14.932834992337,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-10,"y2",14.9942566424369,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-11,"y2",15.0597051969808,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-12,"y2",15.1293712042329,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-13,"y2",15.2034452127787,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-14,"y2",15.282117771393,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-15,"y2",15.365579428908,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-16,"y2",15.4540207340801,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-17,"y2",15.5476322354567,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-18,"y2",15.646604481243,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-19,"y2",15.751128019168,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-20,"y2",15.8613933963494,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-21,"y2",15.9775911591594,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-22,"y2",16.0999118530892,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-23,"y2",16.228497318352,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-24,"y2",16.3631888252788,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-25,"y2",16.5037130967973,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-26,"y2",16.649796628088,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-27,"y2",16.8011659121575,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-28,"y2",16.9575474399281,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-02-29,"y2",17.1186677003296,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-01,"y2",17.2842531803896,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-02,"y2",17.4540303653254,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-03,"y2",17.6277257386351,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-04,"y2",17.8050657821903,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-05,"y2",17.9857769763276,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-06,"y2",18.1695857999415,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-07,"y2",18.3562187305772,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-08,"y2",18.5454022445236,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-09,"y2",18.736862816907,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-10,"y2",18.9303269217843,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-11,"y2",19.1255210322376,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-12,"y2",19.3221716204683,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-13,"y2",19.5200051578915,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-14,"y2",19.7187481152314,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-15,"y2",19.918126962616,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-16,"y2",20.1178681696732,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-17,"y2",20.3176982056265,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-18,"y2",20.5173435393911,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-19,"y2",20.7165306396702,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-20,"y2",20.9150032185563,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-21,"y2",21.1126384406666,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-22,"y2",21.309375720913,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-23,"y2",21.5051548241781,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-24,"y2",21.6999155156201,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-25,"y2",21.8935975607714,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-26,"y2",22.0861407256373,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-27,"y2",22.2774847767951,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-28,"y2",22.4675694814936,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-29,"y2",22.6563346077528,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
2016-03-30,"y2",22.8437199244644,"KNMI14_WH_2050_tx___19810101-20101231_v3.2","375"
